cluster,rank,title,genres,overview,hdbscan_probability,centroid_distance
7,4,Escape from Planet Earth,"[""Animation"", ""Comedy"", ""Adventure"", ""Family"", ""Science Fiction""]",Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,1.0,0.5245092
7,5,The Predator,"[""Science Fiction"", ""Action"", ""Thriller""]","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",0.7025140523742683,0.52723986
8,1,Fight or Flight,"[""Action"", ""Comedy"", ""Thriller""]",A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,1.0,0.51982415
8,2,RED 2,"[""Action"", ""Comedy"", ""Crime"", ""Thriller""]",Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,1.0,0.5209822
8,3,Heart of Stone,"[""Action"", ""Crime"", ""Thriller""]",An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,1.0,0.5222452
8,4,The Killer,"[""Crime"", ""Thriller""]","After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",0.8933688908149988,0.5268745
8,5,Ava,"[""Action"", ""Thriller"", ""Crime""]",A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,0.8933688908149988,0.5327007
9,1,Lethal Weapon,"[""Action"", ""Thriller"", ""Crime""]",A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.,1.0,0.49475315
9,2,The Getaway,"[""Action"", ""Crime"", ""Thriller""]",A recently released ex-convict and his loyal wife go on the run after a heist goes wrong.,0.9842643968825376,0.50135106
9,3,The Getaway,"[""Action"", ""Crime"", ""Mystery"", ""Thriller""]",An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,0.9842643968825376,0.5064292
9,4,Stretch,"[""Action"", ""Comedy"", ""Thriller""]",A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.,0.9842643968825376,0.5096442
9,5,Hard Boiled,"[""Action"", ""Thriller"", ""Crime""]",A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.,1.0,0.5151877
10,1,The New York Ripper,"[""Horror"", ""Crime"", ""Thriller"", ""Mystery""]",A burned-out New York police detective teams up with a college psychoanalyst to track down a vicious serial killer randomly stalking and killing various young women around the city.,1.0,0.48852766
10,2,Nightwatch,"[""Drama"", ""Horror"", ""Mystery"", ""Thriller""]",A law student takes a job as a night watchman at a morgue and begins to discover clues that implicate him as the suspect in a series of murders.,1.0,0.49412525
10,3,Righteous Kill,"[""Crime"", ""Thriller"", ""Mystery""]","Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?",1.0,0.4986155
10,4,The Collini Case,"[""Drama"", ""Thriller""]",A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,0.8011072455169286,0.500629
10,5,A Hard Day,"[""Crime"", ""Thriller"", ""Mystery"", ""Action""]","After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.",1.0,0.50085866
11,1,Closer,"[""Drama"", ""Romance""]",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,0.9995733812578467,0.49851042
11,2,Spread,"[""Comedy"", ""Romance""]",A gigolo must contend with the prospect that he has found true love.,0.8980561939672368,0.5220657
11,3,The Spirit of Christmas,"[""Romance"", ""Drama"", ""Fantasy"", ""TV Movie""]",A woman falls in love with a man who is somewhat unavailable.,1.0,0.52226377
11,4,Picture Perfect,"[""Romance"", ""Comedy"", ""Drama""]","A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",1.0,0.52392757
11,5,The Lady from Shanghai,"[""Mystery"", ""Crime"", ""Thriller"", ""Drama""]",A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,0.8770613432651511,0.5276015
12,1,A Star Is Born,"[""Drama"", ""Music"", ""Romance""]","A movie star helps a young singer-actress find fame, even as age and alcoholism send his own career into a downward spiral.",1.0,0.49814346
12,2,The Fabulous Baker Boys,"[""Comedy"", ""Drama"", ""Music"", ""Romance""]","The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",1.0,0.5328433
12,3,Apartment 7A,"[""Horror"", ""Thriller""]","A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",1.0,0.539912
12,4,We Are Your Friends,"[""Drama"", ""Music"", ""Romance"", ""Comedy""]","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",1.0,0.5407772
12,5,Beyond the Universe,"[""Romance"", ""Drama"", ""Music""]","While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.",1.0,0.5504602
13,1,Do Revenge,"[""Comedy"", ""Thriller"", ""Romance""]",A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,1.0,0.5123365
13,2,Lost and Delirious,"[""Drama"", ""Romance""]","After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.",1.0,0.5180106
13,3,Love Hurts,"[""Drama"", ""Romance""]",Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.,1.0,0.52154374
13,4,Sierra Burgess Is a Loser,"[""Comedy"", ""Drama"", ""Romance""]",A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,1.0,0.5221709
13,5,Handsome Devil,"[""Drama"", ""Comedy""]",A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,0.9152019808415698,0.52624977
